name,calories_kcal,protein_g,carbs_g,fat_g,sugar_g,fiber_g,calcium_mg,iron_mg
adhirasam,160,5,20,6,2.5,3,45,1.4
aloo_gobi,160,5,20,6,2.5,3,45,1.4
aloo_matar,160,5,20,6,2.5,3,45,1.4
aloo_methi,160,5,20,6,2.5,3,45,1.4
aloo_shimla_mirch,160,5,20,6,2.5,3,45,1.4
aloo_tikki,160,5,20,6,2.5,3,45,1.4
alu_pitika,160,5,20,6,2.5,3,45,1.4
amti,160,5,20,6,2.5,3,45,1.4
anarsa,160,5,20,6,2.5,3,45,1.4
ariselu,160,5,20,6,2.5,3,45,1.4
attu,160,5,20,6,2.5,3,45,1.4
avial,160,5,20,6,2.5,3,45,1.4
bajri_no_rotlo,160,5,20,6,2.5,3,45,1.4
balu_shahi,160,5,20,6,2.5,3,45,1.4
bandar_laddu,420,6,60,18,35,1.5,120,1.2
basundi,160,5,20,6,2.5,3,45,1.4
bebinca,160,5,20,6,2.5,3,45,1.4
beef_fry,220,22,4,14,1,0.5,40,2
bengena_pitika,160,5,20,6,2.5,3,45,1.4
bhakri,240,7,45,4,1.2,4.8,35,2.8
bhatura,160,5,20,6,2.5,3,45,1.4
bhindi_masala,160,5,20,6,2.5,3,45,1.4
bilahi_maas,220,22,4,14,1,0.5,40,2
biryani,150,4,30,3,0.8,1.8,25,1.1
bisi_bele_bath,160,5,20,6,2.5,3,45,1.4
black_rice,150,4,30,3,0.8,1.8,25,1.1
bombil_fry,160,5,20,6,2.5,3,45,1.4
boondi,160,5,20,6,2.5,3,45,1.4
bora_sawul,160,5,20,6,2.5,3,45,1.4
brown_rice,150,4,30,3,0.8,1.8,25,1.1
butter_chicken,220,22,4,14,1,0.5,40,2
chak_hao_kheer,420,6,60,18,35,1.5,120,1.2
chakali,160,5,20,6,2.5,3,45,1.4
cham_cham,160,5,20,6,2.5,3,45,1.4
chana_masala,160,5,20,6,2.5,3,45,1.4
chapati,240,7,45,4,1.2,4.8,35,2.8
cheera_doi,420,6,60,18,35,1.5,120,1.2
chevdo,160,5,20,6,2.5,3,45,1.4
chhena_jalebi,420,6,60,18,35,1.5,120,1.2
chhena_kheeri,420,6,60,18,35,1.5,120,1.2
chhena_poda,160,5,20,6,2.5,3,45,1.4
chicken_razala,220,22,4,14,1,0.5,40,2
chicken_tikka,220,22,4,14,1,0.5,40,2
chicken_tikka_masala,220,22,4,14,1,0.5,40,2
chicken_varuval,220,22,4,14,1,0.5,40,2
chikki,160,5,20,6,2.5,3,45,1.4
chingri_bhape,160,5,20,6,2.5,3,45,1.4
chingri_malai_curry,160,5,20,6,2.5,3,45,1.4
chole_bhature,160,5,20,6,2.5,3,45,1.4
chorafali,160,5,20,6,2.5,3,45,1.4
churma_ladoo,160,5,20,6,2.5,3,45,1.4
coconut_vadi,160,5,20,6,2.5,3,45,1.4
copra_paak,160,5,20,6,2.5,3,45,1.4
currivepillai_sadam_,150,4,30,3,0.8,1.8,25,1.1
daal_baati_churma,160,5,20,6,2.5,3,45,1.4
daal_dhokli,160,5,20,6,2.5,3,45,1.4
daal_puri,240,7,45,4,1.2,4.8,35,2.8
dahi_vada,160,5,20,6,2.5,3,45,1.4
dal_makhani_,160,5,20,6,2.5,3,45,1.4
dal_tadka,160,5,20,6,2.5,3,45,1.4
dalithoy,160,5,20,6,2.5,3,45,1.4
dharwad_pedha,160,5,20,6,2.5,3,45,1.4
dhokla,160,5,20,6,2.5,3,45,1.4
dhondas,160,5,20,6,2.5,3,45,1.4
doodhpak,420,6,60,18,35,1.5,120,1.2
dosa,160,5,20,6,2.5,3,45,1.4
double_ka_meetha,160,5,20,6,2.5,3,45,1.4
dudhi_halwa,420,6,60,18,35,1.5,120,1.2
